,0
476,6102.897
477,4299.059
478,1698.647
479,702.295
480,603.917
481,5403.465
482,4402.748
483,597.008
484,599.286
485,5804.426
486,6498.801
487,5300.95
488,5498.395
489,5204.174
490,700.228
491,699.475
492,802.565
493,1202.674
494,601.868
495,895.112
496,5300.545
497,6201.35
498,301.074
499,394.257
500,4803.921
501,5304.236
502,5399.056
503,5398.733
504,6296.245
505,3802.432
506,5003.486
507,703.966
508,6103.766
509,1399.291
510,700.417
511,502.825
512,697.615
513,6698.344
514,7700.368
515,1000.083
516,4501.306
517,5398.348
518,5099.03
519,5303.978
520,603.09
521,5600.415
522,5005.397
523,7902.045
524,405.29
525,5397.657
526,5303.864
527,6197.278
528,895.715
529,796.468
530,998.716
531,699.216
532,4902.894
533,3704.17
534,498.327
535,6504.486
536,6600.494
537,5397.841
538,5198.799
539,896.128
540,803.14
541,3900.407
542,4802.403
543,603.04
544,5301.108
545,6505.732
546,502.496
547,601.257
548,7099.211
549,5197.6
550,5200.742
551,201.979
552,105.013
553,4603.118
554,6504.684
555,3298.497
556,6302.491
557,4495.805
558,6500.84
559,4100.55
560,7694.8
561,1095.176
562,4898.062
563,5402.955
564,896.108
565,1196.808
566,1399.444
567,893.607
568,802.936
569,996.477
570,6201.995
571,1501.238
572,201.388
573,1096.38
574,4703.82
575,5602.085
576,5204.775
577,4505.066
578,5601.442
579,5501.392
580,901.814
581,5106.528
582,5498.892
583,3405.183
584,4895.746
585,1202.026
586,4403.159
587,5001.954
588,802.387
589,801.813
590,5305.533
591,5003.269
592,3901.843
593,3599.299
594,4401.525
595,4204.029
596,805.424
597,303.707
598,397.595
599,802.921
600,699.78
601,5396.865
602,3201.037
603,1302.187
604,4903.315
605,395.946
606,4100.58
607,4901.795
608,401.697
609,4898.148
610,4102.143
611,402.707
612,4603.406
613,4702.999
614,4802.695
615,993.133
616,5405.111
617,900.169
618,3510.658
619,7098.344
620,702.674
621,3901.497
622,5500.708
623,802.731
624,700.114
625,1193.233
626,5399.267
627,3802.449
628,803.678
629,5599.345
630,5096.778
631,599.424
632,4199.785
633,1304.227
634,3696.383
635,3795.645
636,5397.489
637,4096.858
638,901.94
639,5504.23
640,702.244
641,5197.521
642,4498.409
643,5995.257
644,106.622
645,4503.499
646,7203.413
647,5004.563
648,5600.63
649,1003.426
650,5602.088
651,1002.642
652,898.567
653,803.69
654,1298.46
655,3300.785
656,6104.179
657,4398.385
658,5501.775
