,0
532,0.425
533,0.287
534,0.321
535,1.154
536,0.944
537,0.544
538,0.665
539,0.356
540,0.337
541,0.253
542,0.516
543,1.152
544,0.235
545,1.007
546,0.531
547,52.823
548,0.249
549,1.007
550,0.376
551,0.271
552,0.305
553,0.533
554,26.037
555,0.258
556,0.469
557,2.624
558,6.4
559,0.374
560,0.655
561,0.825
562,0.176
563,1.223
564,0.318
565,0.837
566,0.338
567,1.149
568,0.358
569,0.397
570,0.243
571,0.207
572,0.228
573,0.505
574,0.318
575,0.727
576,0.607
577,1.328
578,0.288
579,2.677
580,0.51
581,0.693
582,3.091
583,79.973
584,0.521
585,0.835
586,1.068
587,0.913
588,0.22
589,0.968
590,0.97
591,4.386
592,0.271
593,0.633
594,0.767
595,0.694
596,0.726
597,0.244
598,1.106
599,0.267
600,0.232
601,0.272
602,0.795
603,0.327
604,0.65
605,0.655
606,0.472
607,0.783
608,0.881
609,0.245
610,0.142
611,0.155
612,0.198
613,0.383
614,0.423
615,0.682
616,0.824
617,0.722
618,0.809
619,0.92
620,1.555
621,0.355
622,0.369
623,0.213
624,1.423
625,1.687
626,0.497
627,0.255
628,0.233
629,0.388
630,0.619
631,0.518
632,0.92
633,0.279
634,0.804
635,0.65
636,1.022
637,0.5
638,0.545
639,1.405
640,0.269
641,1.116
642,0.24
643,0.273
644,0.985
645,0.629
646,0.787
647,0.352
648,0.584
649,0.806
650,0.382
651,0.23
652,0.564
653,1.172
654,3.31
655,0.801
656,0.545
657,0.66
658,0.525
659,2.085
660,0.254
661,0.231
662,0.691
663,0.507
664,0.4
665,0.259
666,0.362
667,3.186
668,0.666
669,1.27
670,3.629
671,3.623
672,4.199
673,1.069
674,1.584
675,1.595
676,0.271
677,5.045
678,1.7
679,1.03
680,0.447
681,0.236
682,0.595
683,1.133
684,0.308
685,0.416
686,1.887
687,0.882
688,0.418
689,0.388
690,0.725
691,0.999
692,0.631
693,0.371
694,2.24
695,1.203
696,0.243
697,0.431
698,0.592
699,0.245
700,0.343
701,0.36
702,0.348
703,2.859
704,1.067
705,1.014
706,0.328
707,86.596
708,1.123
709,0.491
710,1.169
711,0.511
712,0.43
713,0.296
714,0.673
715,0.613
716,0.308
717,0.746
718,0.548
719,0.509
720,7.172
721,7.628
722,0.197
723,0.332
724,0.256
725,0.597
726,1.074
727,0.406
728,1.946
729,0.424
730,1.268
731,2.829
732,2.67
733,2.611
734,0.313
735,0.484
736,0.782
737,0.435
738,0.316
739,50.926
740,0.503
741,0.295
742,3.535
743,0.27
744,2.218
745,1.105
746,0.554
747,0.33
748,1.989
749,1.144
750,14.21
751,1.939
752,0.447
753,0.366
754,0.314
755,0.79
756,0.615
757,0.554
758,0.333
759,0.441
760,0.553
761,0.75
762,0.302
763,0.703
764,0.248
765,0.224
766,0.429
767,0.906
768,0.428
769,0.78
770,0.173
771,0.771
772,0.48
773,0.872
774,0.469
775,0.557
776,0.387
777,0.652
778,0.74
779,0.244
780,0.25
781,0.228
782,0.273
783,52.341
784,2.018
785,0.82
786,0.385
787,0.332
788,0.2
789,0.198
790,1.103
791,0.686
792,0.473
793,0.381
794,0.739
795,1.239
796,0.402
797,0.235
798,0.462
799,0.635
800,0.452
801,0.806
802,0.9
803,0.568
804,0.508
805,2.48
806,1.249
807,0.204
808,0.423
809,0.268
810,0.911
811,0.259
812,1.697
813,1.288
814,0.632
815,1.749
816,1.002
817,0.463
818,0.95
819,1.502
820,0.524
821,0.514
822,1.837
823,1.194
824,0.196
825,0.518
826,0.256
827,1.173
828,0.584
829,0.262
830,0.408
831,0.626
832,0.337
833,0.467
834,0.448
835,0.594
836,0.268
837,0.322
838,0.334
839,57.166
840,4.733
841,0.279
842,0.219
843,0.314
844,0.992
845,0.66
846,1.103
847,1.023
848,0.604
849,0.205
850,0.812
851,0.753
852,0.234
853,2.096
854,0.485
855,0.337
856,0.487
857,2.615
858,1.019
859,0.285
860,0.24
861,0.276
862,0.399
863,0.698
864,0.545
865,2.609
866,0.244
867,0.515
868,0.421
869,0.291
870,0.224
871,0.18
872,1.105
873,0.484
874,0.353
875,1.111
876,1.957
877,1.951
878,0.267
879,4.08
880,0.38
881,0.758
882,1.064
883,1.333
884,0.271
885,1.895
886,0.485
887,0.204
888,0.461
889,1.692
890,0.259
891,0.699
892,0.545
893,0.303
894,0.244
895,6.981
896,0.36
897,4.266
898,0.88
899,0.974
900,90.798
901,0.948
902,81.096
903,0.869
904,0.287
905,0.497
906,0.506
907,0.519
908,0.635
909,0.802
910,1.051
911,0.499
912,0.488
913,0.965
914,0.344
915,0.893
916,0.848
917,0.366
918,0.703
919,1.612
920,0.478
921,0.52
922,0.896
923,0.74
924,1.184
925,0.507
926,0.4
927,0.362
928,0.577
929,0.249
930,1.759
931,1.971
932,0.252
933,0.741
934,0.421
935,0.336
936,0.584
937,5.127
938,0.506
939,0.497
940,0.292
941,1.184
942,0.789
943,1.086
944,0.223
945,4.489
946,0.734
947,0.945
948,0.359
949,0.257
950,0.292
951,0.452
952,0.458
953,56.071
954,0.397
955,0.349
956,1.677
957,0.374
958,0.271
959,2.107
960,0.396
961,0.605
962,0.242
963,0.361
964,1.036
965,0.337
966,1.175
967,0.299
968,0.218
969,0.448
970,0.742
971,0.284
972,1.446
973,1.92
974,7.404
975,0.787
976,0.612
977,0.572
978,0.525
979,0.366
980,1.054
981,1.124
982,0.895
983,0.174
984,0.519
985,0.424
986,0.463
987,0.184
988,1.069
989,0.236
990,0.239
991,0.287
992,0.733
993,59.348
994,1.107
995,0.644
996,0.585
997,0.239
998,0.549
999,0.241
